student_id,plan_name,plan_id,week,weekly_assessment_score,daily_avg_score,n
1504,"T1 Addition Strategies",2285,2,100,100,5
1526,"T1 Addition Strategies",2285,1,100,100,5
1526,"T1 Addition Strategies",2285,2,100,100,5
1601,"T1 Addition Strategies",2285,1,100,100,5
1601,"T1 Addition Strategies",2285,2,100,100,5
1601,"T1 Addition Strategies",2285,3,100,100,5
888,"T1 Addition Strategies",2286,1,100,100,5
888,"T1 Addition Strategies",2286,2,100,100,5
941,"T1 Addition Strategies",2286,2,100,100,2
941,"T1 Addition Strategies",2286,1,100,100,5
977,"T1 Addition Strategies",2286,2,100,100,5
977,"T1 Addition Strategies",2286,1,100,100,4
1121,"T1 Addition Strategies",2286,1,100,100,5
1121,"T1 Addition Strategies",2286,2,100,100,5
1170,"T1 Addition Strategies",2286,1,100,100,5
1372,"T1 Addition Strategies",2286,1,100,100,5
1372,"T1 Addition Strategies",2286,2,100,100,5
1376,"T1 Addition Strategies",2286,3,100,100,5
1376,"T1 Addition Strategies",2286,1,100,100,3
1376,"T1 Addition Strategies",2286,2,100,100,4
1476,"T1 Addition Strategies",2286,3,100,100,4
1504,"T1 Addition Strategies",2286,3,100,100,5
957,"T1 Addition Strategies",2287,1,100,100,4
957,"T1 Addition Strategies",2287,2,100,100,3
64,"T1 Addition Strategies",2335,1,100,100,5
897,"T1 Addition Strategies",2473,1,100,100,4
913,"T1 Addition Strategies",2473,1,100,100,4
1131,"T1 Addition Strategies",2473,1,100,92,3
1275,"T1 Addition Strategies",2473,1,80,94,4
1041,"T1 Addition Strategies",2551,1,100,100,5
1246,"T1 Addition Strategies",2551,1,100,100,5
1276,"T1 Addition Strategies",2551,1,100,100,5
1360,"T1 Addition Strategies",2551,1,100,100,5
1425,"T1 Addition Strategies",2551,1,100,100,5
1054,"T1 Addition Strategies",2573,2,100,100,5
1054,"T1 Addition Strategies",2573,3,100,100,5
1054,"T1 Addition Strategies",2573,1,100,100,5
1125,"T1 Addition Strategies",2573,2,100,100,5
1125,"T1 Addition Strategies",2573,3,80,100,5
1125,"T1 Addition Strategies",2573,1,100,100,5
1221,"T1 Addition Strategies",2573,2,100,100,5
1221,"T1 Addition Strategies",2573,3,80,100,5
1221,"T1 Addition Strategies",2573,1,100,100,5
1237,"T1 Addition Strategies",2573,1,100,100,5
1237,"T1 Addition Strategies",2573,2,100,100,5
1237,"T1 Addition Strategies",2573,3,100,100,5
1329,"T1 Addition Strategies",2573,1,100,100,5
1329,"T1 Addition Strategies",2573,2,100,100,5
1329,"T1 Addition Strategies",2573,3,100,100,5
1471,"T1 Addition Strategies",2573,3,80,100,5
1471,"T1 Addition Strategies",2573,1,100,100,5
1471,"T1 Addition Strategies",2573,2,100,100,5
29,"T1 Addition Strategies",2888,1,100,100,3
59,"T1 Addition Strategies",2888,1,100,100,3
91,"T1 Addition Strategies",2888,1,100,100,3
94,"T1 Addition Strategies",2888,1,100,100,3
95,"T1 Addition Strategies",2888,1,100,100,3
97,"T1 Addition Strategies",2888,1,100,100,3
102,"T1 Addition Strategies",2888,1,100,100,3
22,"T1 Addition Strategies",2911,1,100,100,3
26,"T1 Addition Strategies",2911,1,100,100,3
28,"T1 Addition Strategies",2911,1,100,100,3
47,"T1 Addition Strategies",2911,1,100,100,3
75,"T1 Addition Strategies",2911,1,100,100,3
86,"T1 Addition Strategies",2911,1,100,100,3
687,"T1 Addition Strategies",2911,1,100,100,3
65,"T1 Addition Strategies",2913,1,100,100,3
1332,"T1 Addition Strategies",3245,1,80,100,5
1337,"T1 Addition Strategies",3245,1,100,100,5
1347,"T1 Addition Strategies",3245,1,100,100,3
1370,"T1 Addition Strategies",3245,1,100,100,5
1091,"T1 Comparative Value",3274,1,100,87,4
1123,"T1 Comparative Value",3274,1,80,79,4
1277,"T1 Comparative Value",3274,1,100,100,2
1274,"T1 Comparative Value",3276,1,100,93,3
1325,"T1 Comparative Value",3276,1,100,84,4
1394,"T1 Comparative Value",3276,1,80,79,4
1132,"T1 Compound Words",1484,2,100,100,2
1132,"T1 Compound Words",1484,3,100,100,3
744,"T1 Compound Words",1867,2,100,100,2
748,"T1 Compound Words",1867,2,100,100,2
752,"T1 Compound Words",1867,2,100,100,2
753,"T1 Compound Words",1867,2,100,100,2
759,"T1 Compound Words",1867,2,100,100,2
760,"T1 Compound Words",1867,2,100,100,2
216,"T1 Compound Words",2195,2,75,87,3
1552,"T1 Compound Words",2195,2,100,100,3
487,"T1 Compound Words",2350,3,100,100,3
517,"T1 Compound Words",2350,3,100,100,3
524,"T1 Compound Words",2350,3,100,100,3
684,"T1 Compound Words",2350,3,100,100,3
893,"T1 Compound Words",2623,2,100,100,2
1196,"T1 Compound Words",2623,2,100,100,3
1230,"T1 Compound Words",2623,2,100,63,2
1513,"T1 Compound Words",2623,2,100,83,3
947,"T1 Compound Words",2947,2,75,87,3
947,"T1 Compound Words",2947,3,20,46,2
962,"T1 Compound Words",2947,3,100,100,2
962,"T1 Compound Words",2947,2,75,100,2
987,"T1 Compound Words",2947,3,80,100,3
989,"T1 Compound Words",2947,2,100,100,3
989,"T1 Compound Words",2947,3,80,100,2
1439,"T1 Compound Words",2947,3,80,100,3
1450,"T1 Compound Words",2947,2,100,80,2
1503,"T1 Compound Words",2947,2,100,100,1
1513,"T1 Compound Words",2947,3,60,100,3
1049,"T1 Compound Words",3297,2,100,100,3
1248,"T1 Compound Words",3297,2,100,100,3
1436,"T1 Compound Words",3297,2,100,100,3
1603,"T1 Compound Words",3297,2,100,100,2
1625,"T1 Compound Words",3297,2,100,100,2
1284,"T1 Compound Words",3306,2,100,55,2
1370,"T1 Compound Words",3306,2,100,100,3
1424,"T1 Compound Words",3306,2,100,43,3
1512,"T1 Compound Words",3306,2,100,100,2
937,"T1 Compound Words",3307,2,100,100,3
1353,"T1 Compound Words",3307,2,100,92,3
1380,"T1 Compound Words",3307,2,100,100,3
1610,"T1 Compound Words",3307,2,100,58,2
1016,"T1 Conversations",383,1,100,100,3
1052,"T1 Conversations",383,1,100,100,3
1181,"T1 Conversations",383,1,50,89,3
1349,"T1 Conversations",383,1,100,100,3
1364,"T1 Conversations",383,1,100,100,3
1118,"T1 Conversations",384,1,100,100,3
1258,"T1 Conversations",384,1,75,100,3
1259,"T1 Conversations",384,1,100,100,3
1326,"T1 Conversations",384,1,100,92,3
1187,"T1 Conversations",1892,1,100,100,3
1218,"T1 Conversations",1892,1,100,100,3
1389,"T1 Conversations",1892,1,100,100,3
1449,"T1 Conversations",1892,1,100,100,3
1015,"T1 Conversations",2615,1,100,100,3
1353,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1353,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1353,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1353,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1354,"T1 ELL Units 9-10 DIP",3219,1,100,93,3
1354,"T1 ELL Units 9-10 DIP",3219,1,100,93,3
1354,"T1 ELL Units 9-10 DIP",3219,1,100,93,3
1354,"T1 ELL Units 9-10 DIP",3219,1,100,93,3
1610,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1610,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1610,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1610,"T1 ELL Units 9-10 DIP",3219,1,100,87,3
1304,"T1 ELL Units 9-10 DIP",3221,2,67,20,1
1304,"T1 ELL Units 9-10 DIP",3221,1,100,20,1
897,"T1 ELL Units 9-10 DIP",3224,1,100,100,3
897,"T1 ELL Units 9-10 DIP",3224,1,100,100,3
897,"T1 ELL Units 9-10 DIP",3224,1,100,100,3
913,"T1 ELL Units 9-10 DIP",3224,1,100,80,3
913,"T1 ELL Units 9-10 DIP",3224,1,100,80,3
913,"T1 ELL Units 9-10 DIP",3224,1,50,80,3
1627,"T1 ELL Units 9-10 DIP",3224,1,67,67,3
1627,"T1 ELL Units 9-10 DIP",3224,1,67,67,3
1627,"T1 ELL Units 9-10 DIP",3224,1,100,67,3
1206,"T1 ELL Units 9-10 DIP",3225,1,67,60,1
1206,"T1 ELL Units 9-10 DIP",3225,1,33,60,1
1206,"T1 ELL Units 9-10 DIP",3225,1,33,60,1
1603,"T1 ELL Units 9-10 DIP",3225,1,100,80,1
1603,"T1 ELL Units 9-10 DIP",3225,1,100,80,1
1603,"T1 ELL Units 9-10 DIP",3225,1,100,80,1
1266,"T1 ELL Units 9-10 DIP",3226,1,100,40,1
1606,"T1 ELL Units 9-10 DIP",3226,1,67,40,1
