studentId,period,assessment,subassessment,updated_at,value
140110,PM2,ECRLL,rhy,2016-01-13,2
140110,PM3,ECRLL,rhy,2016-03-16,2
140110,PYOUT,ECRLL,rhy,2015-08-29,4
140111,BAS,ECRLL,rhy,2015-09-03,2
140111,PM1,ECRLL,rhy,2015-10-22,3
140111,PM2,ECRLL,rhy,2016-01-14,4
140111,PM3,ECRLL,rhy,2016-03-18,4
140111,PYOUT,ECRLL,rhy,2015-08-29,1
140113,BAS,ECRLL,rhy,2015-09-03,1
140113,PM1,ECRLL,rhy,2015-10-22,2
140113,PM2,ECRLL,rhy,2016-01-13,3
140113,PM3,ECRLL,rhy,2016-03-14,3
140113,PYOUT,ECRLL,rhy,2015-08-29,5
140114,BAS,ECRLL,rhy,2015-09-03,2
140114,PM1,ECRLL,rhy,2015-10-22,5
140114,PYOUT,ECRLL,rhy,2015-08-29,4
140117,BAS,ECRLL,rhy,2015-08-27,0
140117,PM1,ECRLL,rhy,2015-10-27,4
140117,PM2,ECRLL,rhy,2016-01-08,4
140117,PM3,ECRLL,rhy,2016-03-10,3
140117,PYOUT,ECRLL,rhy,2015-08-29,1
140122,BAS,ECRLL,rhy,2015-09-03,3
140122,PM1,ECRLL,rhy,2015-10-23,2
140122,PM2,ECRLL,rhy,2016-01-11,5
140122,PYOUT,ECRLL,rhy,2015-08-29,4
140123,BAS,ECRLL,rhy,2015-09-03,2
140123,PM1,ECRLL,rhy,2015-10-22,3
140123,PM2,ECRLL,rhy,2016-01-13,3
140123,PM3,ECRLL,rhy,2016-03-14,4
140123,PYOUT,ECRLL,rhy,2015-08-29,3
140125,BAS,ECRLL,rhy,2015-10-22,1
140125,PM1,ECRLL,rhy,2015-10-26,3
140125,PM2,ECRLL,rhy,2016-01-12,5
140125,PM3,ECRLL,rhy,2016-03-09,5
140126,BAS,ECRLL,rhy,2015-09-03,2
140126,PM1,ECRLL,rhy,2015-10-22,4
140126,PM2,ECRLL,rhy,2016-01-14,5
140126,PM3,ECRLL,rhy,2016-03-18,5
140126,PYOUT,ECRLL,rhy,2015-08-29,5
140127,PYOUT,ECRLL,rhy,2015-08-29,1
140128,BAS,ECRLL,rhy,2015-09-03,4
140128,PM1,ECRLL,rhy,2015-10-23,4
140128,PM2,ECRLL,rhy,2016-01-11,4
140128,PM3,ECRLL,rhy,2016-03-08,5
140128,PYOUT,ECRLL,rhy,2015-08-29,4
140129,BAS,ECRLL,rhy,2015-10-22,1
140129,PM1,ECRLL,rhy,2015-10-26,1
140129,PM2,ECRLL,rhy,2016-01-14,4
140129,PM3,ECRLL,rhy,2016-03-14,4
140129,PYOUT,ECRLL,rhy,2015-08-29,1
140130,BAS,ECRLL,rhy,2015-09-03,2
140130,PM1,ECRLL,rhy,2015-10-22,5
140130,PM2,ECRLL,rhy,2016-01-14,5
140130,PM3,ECRLL,rhy,2016-03-18,5
140130,PYOUT,ECRLL,rhy,2015-08-29,5
140131,BAS,ECRLL,rhy,2015-08-28,5
140131,PM1,ECRLL,rhy,2015-10-26,4
140131,PM2,ECRLL,rhy,2016-01-08,5
140131,PM3,ECRLL,rhy,2016-03-17,5
140131,PYOUT,ECRLL,rhy,2015-08-29,4
140132,PYOUT,ECRLL,rhy,2015-08-29,0
140133,PYOUT,ECRLL,rhy,2015-08-29,1
140134,BAS,ECRLL,rhy,2015-08-27,5
140134,PM1,ECRLL,rhy,2015-10-27,5
140134,PM2,ECRLL,rhy,2016-01-11,3
140134,PM3,ECRLL,rhy,2016-03-10,5
140134,PYOUT,ECRLL,rhy,2015-08-29,4
140136,BAS,ECRLL,rhy,2015-09-03,1
140136,PM1,ECRLL,rhy,2015-10-22,2
140136,PM2,ECRLL,rhy,2016-01-14,1
140136,PM3,ECRLL,rhy,2016-03-10,3
140140,BAS,ECRLL,rhy,2015-08-27,0
140140,PM1,ECRLL,rhy,2015-10-22,4
140140,PM2,ECRLL,rhy,2016-01-07,4
140140,PM3,ECRLL,rhy,2016-03-10,5
140140,PYOUT,ECRLL,rhy,2015-08-29,2
140142,BAS,ECRLL,rhy,2015-09-03,3
140142,PM1,ECRLL,rhy,2015-10-26,4
140142,PM2,ECRLL,rhy,2016-01-12,5
140142,PM3,ECRLL,rhy,2016-03-16,4
140142,PYOUT,ECRLL,rhy,2015-08-29,5
140144,BAS,ECRLL,rhy,2015-08-28,5
140144,PM1,ECRLL,rhy,2015-10-26,5
140144,PM2,ECRLL,rhy,2016-01-12,5
140144,PM3,ECRLL,rhy,2016-03-14,4
140144,PYOUT,ECRLL,rhy,2015-08-29,5
140146,BAS,ECRLL,rhy,2015-09-03,2
140146,PM1,ECRLL,rhy,2015-10-26,4
140146,PM2,ECRLL,rhy,2016-01-15,4
140146,PM3,ECRLL,rhy,2016-03-14,4
140146,PYOUT,ECRLL,rhy,2015-08-29,3
140147,BAS,ECRLL,rhy,2015-09-03,1
140147,PM1,ECRLL,rhy,2015-10-26,1
140147,PM2,ECRLL,rhy,2016-01-11,5
140147,PM3,ECRLL,rhy,2016-03-18,5
140147,PYOUT,ECRLL,rhy,2015-08-29,4
140149,BAS,ECRLL,rhy,2015-09-03,1
140149,PM1,ECRLL,rhy,2015-10-23,3
140149,PM2,ECRLL,rhy,2016-01-12,3
140149,PM3,ECRLL,rhy,2016-03-09,5
140149,PYOUT,ECRLL,rhy,2015-08-29,0
140155,BAS,ECRLL,rhy,2015-09-03,2
140155,PM1,ECRLL,rhy,2015-10-26,2
140155,PM2,ECRLL,rhy,2016-01-13,2
140155,PM3,ECRLL,rhy,2016-03-16,2
140155,PYOUT,ECRLL,rhy,2015-08-29,5
140157,BAS,ECRLL,rhy,2015-08-31,5
140157,PM1,ECRLL,rhy,2015-10-27,5
140157,PM2,ECRLL,rhy,2016-01-14,5
140157,PM3,ECRLL,rhy,2016-03-14,5
140157,PYOUT,ECRLL,rhy,2015-08-29,5
140158,BAS,ECRLL,rhy,2015-09-03,4
140158,PM1,ECRLL,rhy,2015-10-27,3
140158,PM2,ECRLL,rhy,2016-01-14,3
140158,PM3,ECRLL,rhy,2016-03-14,3
140158,PYOUT,ECRLL,rhy,2015-08-29,5
140159,BAS,ECRLL,rhy,2015-08-28,5
140159,PM1,ECRLL,rhy,2015-10-26,5
140159,PM2,ECRLL,rhy,2016-01-11,5
140159,PM3,ECRLL,rhy,2016-03-14,5
140159,PYOUT,ECRLL,rhy,2015-08-29,5
140163,PYOUT,ECRLL,rhy,2015-08-29,5
140168,BAS,ECRLL,rhy,2015-08-27,NULL
140168,PYOUT,ECRLL,rhy,2015-08-29,4
140169,BAS,ECRLL,rhy,2015-09-03,1
140169,PM1,ECRLL,rhy,2015-10-26,1
140169,PM2,ECRLL,rhy,2016-01-14,4
140169,PM3,ECRLL,rhy,2016-03-14,5
140169,PYOUT,ECRLL,rhy,2015-08-29,1
140171,PYOUT,ECRLL,rhy,2015-08-29,5
140174,BAS,ECRLL,rhy,2015-09-03,4
140174,PM1,ECRLL,rhy,2015-10-26,4
140174,PM2,ECRLL,rhy,2016-01-13,5
140174,PM3,ECRLL,rhy,2016-03-15,4
140174,PYOUT,ECRLL,rhy,2015-08-29,1
140175,PYOUT,ECRLL,rhy,2015-08-29,1
140177,BAS,ECRLL,rhy,2015-09-02,1
140177,PM1,ECRLL,rhy,2015-10-22,NULL
140179,BAS,ECRLL,rhy,2015-09-21,1
140179,PM1,ECRLL,rhy,2015-11-13,2
140179,PM2,ECRLL,rhy,2016-01-19,0
140179,PM3,ECRLL,rhy,2016-03-21,5
140179,PYOUT,ECRLL,rhy,2015-08-29,4
140183,BAS,ECRLL,rhy,2015-09-18,1
140183,PM1,ECRLL,rhy,2015-11-18,4
140183,PM2,ECRLL,rhy,2016-01-19,3
140183,PM3,ECRLL,rhy,2016-03-23,4
140183,PYOUT,ECRLL,rhy,2015-08-29,5
140184,BAS,ECRLL,rhy,2015-09-03,1
140184,PM1,ECRLL,rhy,2015-10-26,2
140184,PM2,ECRLL,rhy,2016-01-14,3
140184,PM3,ECRLL,rhy,2016-03-18,4
140184,PYOUT,ECRLL,rhy,2015-08-29,1
140185,PYOUT,ECRLL,rhy,2015-08-29,5
140186,PYOUT,ECRLL,rhy,2015-08-29,4
140188,BAS,ECRLL,rhy,2015-08-28,0
140188,PM1,ECRLL,rhy,2015-10-22,NULL
140188,PYOUT,ECRLL,rhy,2015-08-29,3
140189,BAS,ECRLL,rhy,2015-09-01,5
140189,PM1,ECRLL,rhy,2015-10-27,4
140189,PM2,ECRLL,rhy,2016-01-13,4
140189,PM3,ECRLL,rhy,2016-03-09,5
140189,PYOUT,ECRLL,rhy,2015-08-29,5
140192,BAS,ECRLL,rhy,2015-09-03,1
140192,PM1,ECRLL,rhy,2015-10-26,5
140192,PM2,ECRLL,rhy,2016-01-12,5
140192,PM3,ECRLL,rhy,2016-03-14,5
140192,PYOUT,ECRLL,rhy,2015-08-29,1
140194,BAS,ECRLL,rhy,2015-09-03,4
140194,PM1,ECRLL,rhy,2015-10-26,4
140194,PM2,ECRLL,rhy,2016-01-12,5
140194,PM3,ECRLL,rhy,2016-03-14,5
140194,PYOUT,ECRLL,rhy,2015-08-29,5
140196,BAS,ECRLL,rhy,2015-09-03,4
140196,PM1,ECRLL,rhy,2015-10-22,5
140196,PM2,ECRLL,rhy,2016-01-07,5
140196,PM3,ECRLL,rhy,2016-03-10,4
140196,PYOUT,ECRLL,rhy,2015-08-29,4
140197,BAS,ECRLL,rhy,2015-09-03,4
140197,PM1,ECRLL,rhy,2015-10-22,4
140197,PM2,ECRLL,rhy,2016-01-14,3
140197,PM3,ECRLL,rhy,2016-03-18,5
140197,PYOUT,ECRLL,rhy,2015-08-29,5
140198,BAS,ECRLL,rhy,2015-09-03,4
140198,PM1,ECRLL,rhy,2015-10-22,4
140198,PM2,ECRLL,rhy,2016-01-07,5
140198,PM3,ECRLL,rhy,2016-03-10,4
140198,PYOUT,ECRLL,rhy,2015-08-29,4
140199,BAS,ECRLL,rhy,2015-09-03,4
140199,PM1,ECRLL,rhy,2015-10-22,5
140199,PM2,ECRLL,rhy,2016-01-14,5
140199,PM3,ECRLL,rhy,2016-03-14,5
140199,PYOUT,ECRLL,rhy,2015-08-29,4
140203,BAS,ECRLL,rhy,2015-08-28,0
140203,PM1,ECRLL,rhy,2015-10-22,2
140203,PM2,ECRLL,rhy,2016-01-07,1
140203,PM3,ECRLL,rhy,2016-03-10,4
140203,PYOUT,ECRLL,rhy,2015-08-29,1
140204,PYOUT,ECRLL,rhy,2015-08-29,4
140205,BAS,ECRLL,rhy,2015-09-03,1
140205,PM1,ECRLL,rhy,2015-10-26,3
140205,PM2,ECRLL,rhy,2016-01-07,3
140205,PM3,ECRLL,rhy,2016-03-08,4
140205,PYOUT,ECRLL,rhy,2015-08-29,3
140207,PYOUT,ECRLL,rhy,2015-08-29,1
140208,BAS,ECRLL,rhy,2015-09-03,2
140208,PM1,ECRLL,rhy,2015-10-23,4
140208,PM2,ECRLL,rhy,2016-01-13,5
140208,PM3,ECRLL,rhy,2016-03-10,5
140208,PYOUT,ECRLL,rhy,2015-08-29,5
140209,BAS,ECRLL,rhy,2015-08-27,5
140209,PM1,ECRLL,rhy,2015-10-22,4
140209,PM2,ECRLL,rhy,2016-01-07,5
140209,PM3,ECRLL,rhy,2016-03-08,4
140209,PYOUT,ECRLL,rhy,2015-08-29,4
140210,PM1,ECRLL,rhy,2015-11-04,1
140210,PM2,ECRLL,rhy,2016-01-05,5
140210,PM3,ECRLL,rhy,2016-03-17,2
140210,PYOUT,ECRLL,rhy,2015-08-29,5
140213,PYOUT,ECRLL,rhy,2015-08-29,3
140214,BAS,ECRLL,rhy,2015-09-03,1
140214,PM1,ECRLL,rhy,2015-10-26,2
140214,PM2,ECRLL,rhy,2016-01-13,2
140214,PM3,ECRLL,rhy,2016-03-14,3
140214,PYOUT,ECRLL,rhy,2015-08-29,4
140220,BAS,ECRLL,rhy,2016-02-11,4
140220,PM1,ECRLL,rhy,2015-10-28,2
140220,PM2,ECRLL,rhy,2016-01-13,4
140220,PYOUT,ECRLL,rhy,2015-08-29,4
140222,BAS,ECRLL,rhy,2015-09-03,1
140222,PM1,ECRLL,rhy,2015-10-26,1
140222,PM2,ECRLL,rhy,2016-01-11,3
140222,PM3,ECRLL,rhy,2016-03-14,3
140222,PYOUT,ECRLL,rhy,2015-08-29,2
140223,BAS,ECRLL,rhy,2015-10-22,2
140223,PM1,ECRLL,rhy,2015-10-29,4
140223,PM2,ECRLL,rhy,2016-01-14,3
140223,PM3,ECRLL,rhy,2016-03-17,3
140223,PYOUT,ECRLL,rhy,2015-08-29,4
140224,BAS,ECRLL,rhy,2015-09-03,2
140224,PM1,ECRLL,rhy,2015-10-22,2
140224,PM2,ECRLL,rhy,2016-01-07,3
140224,PM3,ECRLL,rhy,2016-03-15,3
140224,PYOUT,ECRLL,rhy,2015-08-29,2
140225,BAS,ECRLL,rhy,2015-09-03,2
140225,PM1,ECRLL,rhy,2015-10-22,4
140225,PM2,ECRLL,rhy,2016-01-14,3
140225,PM3,ECRLL,rhy,2016-03-18,3
140225,PYOUT,ECRLL,rhy,2015-08-29,2
140227,BAS,ECRLL,rhy,2015-09-03,2
140227,PM1,ECRLL,rhy,2015-10-26,2
140227,PM2,ECRLL,rhy,2016-01-12,3
140227,PM3,ECRLL,rhy,2016-03-16,3
140227,PYOUT,ECRLL,rhy,2015-08-29,4
140231,BAS,ECRLL,rhy,2015-09-18,2
140231,PM1,ECRLL,rhy,2015-11-12,4
140231,PM2,ECRLL,rhy,2016-01-14,5
140231,PM3,ECRLL,rhy,2016-03-28,5
140231,PYOUT,ECRLL,rhy,2015-08-29,5
140234,BAS,ECRLL,rhy,2015-09-03,2
140234,PM1,ECRLL,rhy,2015-10-26,4
140234,PM2,ECRLL,rhy,2016-01-13,4
140234,PM3,ECRLL,rhy,2016-03-15,5
140234,PYOUT,ECRLL,rhy,2015-08-29,4
140235,BAS,ECRLL,rhy,2015-08-27,5
140235,PM1,ECRLL,rhy,2015-10-26,5
140235,PM2,ECRLL,rhy,2016-01-11,5
140235,PYOUT,ECRLL,rhy,2015-08-29,5
140236,BAS,ECRLL,rhy,2015-09-03,2
140236,PM1,ECRLL,rhy,2015-10-26,5
140236,PM2,ECRLL,rhy,2016-01-12,4
140236,PM3,ECRLL,rhy,2016-03-14,4
140236,PYOUT,ECRLL,rhy,2015-08-29,4
140237,BAS,ECRLL,rhy,2015-09-03,3
140237,PM1,ECRLL,rhy,2015-10-26,5
140237,PM2,ECRLL,rhy,2016-01-07,4
140237,PM3,ECRLL,rhy,2016-03-10,4
140237,PYOUT,ECRLL,rhy,2015-08-29,5
140238,BAS,ECRLL,rhy,2015-09-03,1
140238,PM1,ECRLL,rhy,2015-10-26,4
140238,PM2,ECRLL,rhy,2016-01-15,5
140238,PM3,ECRLL,rhy,2016-03-16,4
140238,PYOUT,ECRLL,rhy,2015-08-29,5
140240,BAS,ECRLL,rhy,2015-09-03,1
140240,PM1,ECRLL,rhy,2015-10-26,4
140240,PM2,ECRLL,rhy,2016-01-19,5
140240,PM3,ECRLL,rhy,2016-03-09,5
140240,PYOUT,ECRLL,rhy,2015-08-29,2
140242,BAS,ECRLL,rhy,2015-08-28,5
140242,PM1,ECRLL,rhy,2015-10-26,4
140242,PM2,ECRLL,rhy,2016-01-12,3
140242,PM3,ECRLL,rhy,2016-03-14,5
140242,PYOUT,ECRLL,rhy,2015-08-29,5
140244,BAS,ECRLL,rhy,2015-10-22,2
140244,PM1,ECRLL,rhy,2015-10-26,0
